Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County,
"RITE AID 5512",-118.15252,33.889343,"8447 Alondra Blvd","","Paramount","CA","90723","4405","LOS ANGELES" 
"EL PECAS MEAT MARKET",-118.30722,33.831463,"1644 W Carson St","Ste F","Torrance","CA","90501","2839","LOS ANGELES" 
"RITE AID 5597",-118.14468,34.038574,"2150 S Atlantic Blvd","","Monterey Park","CA","91754","6839","LOS ANGELES" 
"RITE AID 5606",-118.0749,34.080753,"8914 Valley Blvd","","Rosemead","CA","91770","1832","LOS ANGELES" 
"RITE AID 6214",-118.25458,33.906586,"1001 N Central Ave","","Compton","CA","90222","3647","LOS ANGELES" 
"RITE AID 6288",-118.32283,34.055092,"959 Crenshaw Blvd","","Los Angeles","CA","90019","1938","LOS ANGELES" 
"RITE AID 6313",-118.20793,33.894669,"107 S Long Beach Blvd","","Compton","CA","90221","3423","LOS ANGELES" 
"RITE AID 5586",-117.59454,34.121593,"9650 Baseline Rd","","Rancho Cucamonga","CA","91701","5035","SAN BERNARDINO" 
"RITE AID 5587",-117.61486,34.132675,"8760 19th St","","Rancho Cucamonga","CA","91701","4608","SAN BERNARDINO" 
"RITE AID 5598",-117.65286,34.070637,"222 W G St","","Ontario","CA","91762","3228","SAN BERNARDINO" 
"RITE AID 5600",-117.67004,34.076962,"1050 N Mountain Ave","","Ontario","CA","91762","2114","SAN BERNARDINO" 
"RITE AID 5602",-117.61252,34.077648,"1841 E 4th St","","Ontario","CA","91764","2601","SAN BERNARDINO" 
"RITE AID 5687",-117.18969,34.500797,"21738 US Highway 18","","Apple Valley","CA","92307","3916","SAN BERNARDINO" 
"RITE AID 5690",-117.0229,34.877392,"1380 Barstow Rd","","Barstow","CA","92311","4944","SAN BERNARDINO" 
"RITE AID 5692",-117.21127,34.245487,"27177 State Highway 189 Ste E","","Blue Jay","CA","92317","0017","SAN BERNARDINO" 
"RITE AID 5693",-117.29229,34.048828,"2025 E Washington St","","Colton","CA","92324","4704","SAN BERNARDINO" 
"RITE AID 5694",-117.31391,34.076832,"1133 N Mount Vernon Ave","","Colton","CA","92324","2554","SAN BERNARDINO" 
"We Yone African Market & Produce",-117.36733,34.121319,"243 E Base Line Rd","","Rialto","CA","92376","3511","SAN BERNARDINO" 
"RITE AID 5695",-117.43545,34.106678,"16910 Foothill Blvd","","Fontana","CA","92335","3502","SAN BERNARDINO" 
"RITE AID 5696",-117.48669,34.042068,"11673 Cherry Ave","","Fontana","CA","92337","0141","SAN BERNARDINO" 
"RITE AID 5697",-117.32406,34.424896,"15510 Main St","","Hesperia","CA","92345","3427","SAN BERNARDINO" 
"RITE AID 5699",-114.59639,34.825123,"1020 E Broadway St","","Needles","CA","92363","3809","SAN BERNARDINO" 
"RITE AID 5700",-117.57473,34.426292,"4013 Phelan Rd","","Phelan","CA","92371","8912","SAN BERNARDINO" 
"RITE AID 5702",-117.37027,34.090935,"585 S Riverside Ave","","Rialto","CA","92376","7071","SAN BERNARDINO" 
"RITE AID 5703",-117.37094,34.137981,"2020 N Riverside Ave","","Rialto","CA","92377","4600","SAN BERNARDINO" 
"RITE AID 5705",-117.3127,34.516701,"14629 7th St","","Victorville","CA","92395","4019","SAN BERNARDINO" 
"RITE AID 5706",-117.36376,34.470436,"13720 Bear Valley Rd","","Victorville","CA","92392","8713","SAN BERNARDINO" 
"RITE AID 5708",-117.43574,34.073105,"9940 Sierra Ave","","Fontana","CA","92335","6721","SAN BERNARDINO" 
"RITE AID 6276",-117.2828,34.418743,"17441 Main St","","Hesperia","CA","92345","6268","SAN BERNARDINO" 
"RITE AID 6318",-117.59323,34.018242,"3000 S Archibald Ave","","Ontario","CA","91761","7918","SAN BERNARDINO" 
"RITE AID 5423",-118.24643,33.974808,"1535 E Florence Ave","","Los Angeles","CA","90001","","LOS ANGELES" 
"RITE AID 5429",-118.25075,34.047932,"500 S Broadway","","Los Angeles","CA","90013","2302","LOS ANGELES" 
"RITE AID 5434",-118.26025,34.080933,"1433 Glendale Blvd","","Los Angeles","CA","90026","2428","LOS ANGELES" 
"RITE AID 5440",-118.21527,34.076527,"111 E Avenue 26","","Los Angeles","CA","90031","2312","LOS ANGELES" 
"RITE AID 5445",-118.2827,34.004871,"4322 S Figueroa St","","Los Angeles","CA","90037","2642","LOS ANGELES" 
"99 Cents Only Store 212",-117.09984,32.701965,"265 Marketplace Ave","","San Diego","CA","92113","1965","SAN DIEGO" 
"99 Cents Only Store 221",-117.88974,33.917755,"1261 Market Place Ave","","Brea","CA","92821","","ORANGE" 
"RITE AID 5446",-118.34405,34.091511,"1130 N la Brea Ave","","West Hollywood","CA","90038","1022","LOS ANGELES" 
"RITE AID 5448",-118.22722,34.120735,"4044 Eagle Rock Blvd","","Los Angeles","CA","90065","3608","LOS ANGELES" 
"RITE AID 5450",-118.18217,34.114708,"6305 York Blvd","","Highland Park","CA","90042","3639","LOS ANGELES" 
"RITE AID 5527",-118.03287,34.107567,"39 Las Tunas Dr","","Arcadia","CA","91007","8511","LOS ANGELES" 
"RITE AID 5528",-117.97655,34.139717,"1335 Huntington Dr","","Duarte","CA","91010","2527","LOS ANGELES" 
"RITE AID 5530",-118.00536,34.140263,"304 W Huntington Dr","","Monrovia","CA","91016","","LOS ANGELES" 
"RITE AID 5576",-117.90668,34.114277,"153 E Gladstone St","","Azusa","CA","91702","4926","LOS ANGELES" 
"RITE AID 5585",-117.87264,34.08717,"139 N Grand Ave","","Covina","CA","91724","2957","LOS ANGELES" 
"RITE AID 5588",-118.04151,34.074261,"3570 Santa Anita Ave","","El Monte","CA","91731","2456","LOS ANGELES" 
"RITE AID 5593",-117.97391,34.053265,"13905 Amar Rd","","La Puente","CA","91746","1670","LOS ANGELES" 
"RITE AID 5595",-117.77522,34.116558,"1480 Foothill Blvd","","La Verne","CA","91750","3450","LOS ANGELES" 
"RITE AID 5604",-117.73861,34.062687,"611 E Holt Ave","","Pomona","CA","91767","5625","LOS ANGELES" 
"RITE AID 5608",-117.82541,34.1068,"933 W Arrow Hwy","","San Dimas","CA","91773","2420","LOS ANGELES" 
"RITE AID 5609",-118.06483,34.106113,"9450 Las Tunas Dr","","Temple City","CA","91780","2138","LOS ANGELES" 
"RITE AID 5610",-117.91417,34.030869,"1528 E Amar Rd","","West Covina","CA","91792","1618","LOS ANGELES" 
"RITE AID 5611",-118.1137,34.079033,"920 E Valley Blvd","","Alhambra","CA","91801","5226","LOS ANGELES" 
"RITE AID 5612",-118.12567,34.095795,"69 E Main St","","Alhambra","CA","91801","3514","LOS ANGELES" 
"RITE AID 6300",-118.02637,34.151112,"165 E Foothill Blvd","","Arcadia","CA","91006","2506","LOS ANGELES" 
"RITE AID 6338",-117.74937,34.03389,"2059 S Garey Ave","","Pomona","CA","91766","5727","LOS ANGELES" 
"RITE AID 5670",-116.22601,33.714733,"82451-C Highway 111","","Indio","CA","92201","5654","RIVERSIDE" 
"Rite Aid 5671",-116.94662,33.922215,"300 S Highland Springs Ave","Ste 9","Banning","CA","92220","6502","RIVERSIDE" 
"RITE AID 5672",-116.88582,33.925392,"806 W Ramsey St","","Banning","CA","92220","4478","RIVERSIDE" 
"RITE AID 5673",-114.58622,33.610584,"890 E Hobsonway","","Blythe","CA","92225","1800","RIVERSIDE" 
"RITE AID 5676",-116.45671,33.815823,"69155 Ramon Rd","","Cathedral City","CA","92234","3344","RIVERSIDE" 
"RITE AID 5679",-116.50127,33.954941,"12900 Palm Dr","","Desert Hot Springs","CA","92240","4567","RIVERSIDE" 
"RITE AID 5682",-116.35727,33.75816,"74958 Country Club Dr","","Palm Desert","CA","92260","1948","RIVERSIDE" 
"RITE AID 5683",-116.54676,33.817879,"366 S Palm Canyon Dr","","Palm Springs","CA","92262","7302","RIVERSIDE" 
"Rite Aid 5684",-116.52828,33.804241,"111 S Sunrise Way","","Palm Springs","CA","92262","6736","RIVERSIDE" 
"RITE AID 5685",-116.08686,34.135509,"72253 29 Palms Hwy","","Twentynine Palms","CA","92277","2467","SAN BERNARDINO" 
"Super Bargain Market",-118.27385,33.93726,"10900 S Main St","","Los Angeles","CA","90061","2028","LOS ANGELES" 
"RITE AID 5686",-116.40696,34.125729,"57646 29 Palms Hwy","","Yucca Valley","CA","92284","3073","SAN BERNARDINO" 
"RITE AID 5709",-117.05342,34.033897,"34420 Yucaipa Blvd","","Yucaipa","CA","92399","2412","SAN BERNARDINO" 
"RITE AID 5722",-116.92772,33.747711,"42021 East Florida Ave","","Hemet","CA","92544","5016","RIVERSIDE" 
"RITE AID 5724",-117.00653,33.750389,"260 N Sanderson Ave","","Hemet","CA","92545","3614","RIVERSIDE" 
"RITE AID 6246",-116.30373,33.744122,"41800 Washington St","Ste 113B","Bermuda Dunes","CA","92203","8153","RIVERSIDE" 
"RITE AID 6293",-116.95872,33.770943,"1605 S San Jacinto Ave","","San Jacinto","CA","92583","5181","RIVERSIDE" 
"EARLS BOTTLE SHOP",-121.8325,37.358555,"299 S Capitol Ave","","San Jose","CA","95127","2844","SANTA CLARA" 
"RITE AID 5578",-117.71253,33.982738,"4200 Chino Hills Pkwy","Ste 500","Chino Hills","CA","91709","3779","SAN BERNARDINO" 
"RITE AID 5711",-117.30377,34.163364,"949 Kendall Dr","","San Bernardino","CA","92407","5801","SAN BERNARDINO" 
"RITE AID 5469",-117.10321,33.47974,"31797 HWY 79 S","","TEMECULA","CA","92592","","RIVERSIDE" 
"RITE AID 5579",-117.68937,34.034161,"12059 Central Ave","","Chino","CA","91710","1908","SAN BERNARDINO" 
"RITE AID 5583",-117.59386,33.868294,"1292 Border Ave","","Corona","CA","92882","3801","RIVERSIDE" 
"RITE AID 5591",-117.8894,33.987595,"18993 Colima Rd","","Rowland Heights","CA","91748","2942","LOS ANGELES" 
"RITE AID 5592",-117.96806,33.99593,"2060 S Hacienda Blvd","","Hacienda Heights","CA","91745","4240","LOS ANGELES" 
"NEW INDIA BAZAR",-122.41999,37.78693,"1107 Polk St","","San Francisco","CA","94109","5512","SAN FRANCISCO" 
"RITE AID 5603",-117.83725,33.974751,"2797 S Diamond Bar Blvd","","Diamond Bar","CA","91765","3513","LOS ANGELES" 
"RITE AID 5701",-117.16914,34.047482,"700 E Redlands Blvd","Ste A","Redlands","CA","92373","6168","SAN BERNARDINO" 
"RITE AID 5704",-117.19386,33.714417,"27350 Sun City Blvd","","Menifee","CA","92586","2596","RIVERSIDE" 
"RITE AID 5712",-117.45406,33.94487,"6150 Van Buren Blvd","","Riverside","CA","92503","8014","RIVERSIDE" 
"RITE AID 5713",-117.36429,33.882484,"17126 Van Buren Blvd","","Riverside","CA","92504","5905","RIVERSIDE" 
"RITE AID 5715",-117.3925,33.959904,"6075 Magnolia Ave","","Riverside","CA","92506","2525","RIVERSIDE" 
"RITE AID 5716",-117.34854,33.974091,"3849 Chicago Ave","","Riverside","CA","92507","5336","RIVERSIDE" 
"RITE AID 5717",-117.32952,33.956573,"5225 Canyon Crest Dr","Ste 8","Riverside","CA","92507","6320","RIVERSIDE" 
"RITE AID 5718",-117.45894,33.978355,"8015 Limonite Ave","","Riverside","CA","92509","6108","RIVERSIDE" 
"RITE AID 5725",-117.24488,33.946602,"23965 Ironwood Ave","","Moreno Valley","CA","92557","7153","RIVERSIDE" 
"RITE AID 5727",-117.20351,33.572285,"40640 California Oaks Rd","","Murrieta","CA","92562","5857","RIVERSIDE" 
"RITE AID 5728",-117.17812,33.556473,"40481 Murrieta Hot Springs Rd","","Murrieta","CA","92563","6401","RIVERSIDE" 
"RITE AID 5729",-117.22624,33.80217,"1688 N Perris Blvd","","Perris","CA","92571","4709","RIVERSIDE" 
"Bombay Video, Inc.",-121.63725,39.132332,"1410 Bridge St","Ste D","Yuba City","CA","95993","3500","SUTTER" 
"RITE AID 5730",-117.20805,33.684948,"25906 Newport Rd","","Menifee","CA","92584","9130","RIVERSIDE" 
"RITE AID 6231",-117.22679,33.917252,"24991 Alessandro Blvd","","Moreno Valley","CA","92553","5708","RIVERSIDE" 
"RITE AID 6256",-117.24301,34.0485,"25710 Barton Rd","","Loma Linda","CA","92354","3874","SAN BERNARDINO" 
"Lanes Market",-121.91686,41.96693,"109 S Pine St","","Dorris","CA","96023","","SISKIYOU" 
"FASTRIP FOOD STORE 702",-119.20736,36.297745,"101 W Visalia Rd","","Farmersville","CA","93223","1821","TULARE" 
"Service Liquor Store",-118.29796,34.069088,"3803 W 3rd St","","Los Angeles","CA","90020","2607","LOS ANGELES" 
"Mentone Plaza Liquor, Inc",-117.12803,34.069935,"1940 Mentone Blvd","","Mentone","CA","92359","1269","SAN BERNARDINO" 
"GK DISCOUNT LIQUOR",-121.39148,38.496063,"8484 Florin Rd","Ste 20","Sacramento","CA","95828","2525","SACRAMENTO" 
"Howze Liquor Mart",-117.01616,34.897522,"846 E Williams St","","Barstow","CA","92311","3048","SAN BERNARDINO" 
"RS Liquor",-119.57214,36.099579,"1004 Dairy Ave","","Corcoran","CA","93212","2116","KINGS" 
"Easy Way Market",-118.94122,35.368671,"3435 Pioneer Dr","","Bakersfield","CA","93306","6335","KERN" 
"HOLLY OAK GAS & GROCERY",-121.61656,39.119461,"555 Garden Hwy","","Yuba City","CA","95991","6300","SUTTER" 
"RANCHO MARKET",-122.30281,40.535088,"8510 Airport Rd","","Redding","CA","96002","9210","SHASTA" 
"Lake Liquor & Sporting Goods",-122.40502,40.625713,"1345 Lake Blvd","","Redding","CA","96003","1263","SHASTA" 
"Pomona Ranch Market",-117.75571,34.054943,"604 W Mission Blvd","","Pomona","CA","91766","1535","LOS ANGELES" 
"Short Stop 28",-118.44876,34.180813,"6073 Van Nuys Blvd","","Van Nuys","CA","91401","3320","LOS ANGELES" 
"Cardenas Markets 14",-117.58282,33.880024,"301 S Lincoln Ave","","Corona","CA","92882","1857","RIVERSIDE" 
"Red Barn Liquor Market",-120.44925,34.638882,"728 E Ocean Ave","","Lompoc","CA","93436","7015","SANTA BARBARA" 
"7-Eleven 17265 F",-117.08699,32.671848,"1601 E 18th St","","National City","CA","91950","5008","SAN DIEGO" 
"Ramona Liquor and Deli Market",-117.97275,34.083351,"13750 Ramona Blvd","","Baldwin Park","CA","91706","4021","LOS ANGELES" 
"RITE AID 5794",-119.23183,35.775917,"1809 Cecil Ave","","Delano","CA","93215","1519","KERN" 
"RITE AID 5797",-118.42855,35.624031,"PO Box 3740","","Lake Isabella","CA","93240","3740","KERN" 
"RITE AID 05800",-119.46756,35.14576,"1076 Kern St","","Taft","CA","93268","2743","KERN" 
"RITE AID 5807",-119.35368,35.601475,"2501 Highway 46","","Wasco","CA","93280","2919","KERN" 
"RITE AID 5809",-119.02003,35.379997,"1601 23rd St","","Bakersfield","CA","93301","4035","KERN" 
"RITE AID 5811",-119.02135,35.339863,"1425 S H St","","Bakersfield","CA","93304","4512","KERN" 
"RITE AID 5814",-118.96732,35.389553,"2505 Mount Vernon Ave","","Bakersfield","CA","93306","2919","KERN" 
"RITE AID 5815",-119.02085,35.42675,"100 China Grade Loop","","Bakersfield","CA","93308","1739","KERN" 
"RITE AID 05816",-119.03914,35.41275,"715 Airport Dr","","Bakersfield","CA","93308","4129","KERN" 
"RITE AID 5817",-119.0915,35.318367,"8000 White Ln","","Bakersfield","CA","93309","7688","KERN" 
"RITE AID 5837",-117.95956,35.125832,"9482 California City Blvd","","California City","CA","93505","2803","KERN" 
"Tripti Market",-118.29855,34.084164,"4550 Marathon St","","Los Angeles","CA","90029","3495","LOS ANGELES" 
"RITE AID 5839",-118.42036,37.377575,"1375 Rocking W Dr","","Bishop","CA","93514","1995","INYO" 
"RITE AID 5840",-118.14796,34.686501,"44226 10th St W","","Lancaster","CA","93534","4134","LOS ANGELES" 
"RITE AID 5842",-118.96606,37.645935,"26 OLD MAMMOTH RD","","MAMMOTH LAKES","CA","93546","","MONO" 
"RITE AID 5844",-118.04494,34.571705,"37950 47th St E","","Palmdale","CA","93552","3271","LOS ANGELES" 
"RITE AID 5845",-117.66998,35.622761,"101 N China Lake Blvd","","Ridgecrest","CA","93555","3915","KERN" 
"Saigon Market",-118.3528,33.888329,"15705 Hawthorne Blvd","Ste A","Lawndale","CA","90260","3913","LOS ANGELES" 
"Hemet Fish Market",-116.95061,33.747669,"2050 E Florida Ave","","Hemet","CA","92544","4727","RIVERSIDE" 
"FRESNO COMMUNITY MARKET 3",-119.73544,36.757675,"4825 E Olive Ave","","Fresno","CA","93727","1808","FRESNO" 
"Jalisco Market",-118.03051,34.060383,"2700 Peck Rd","","El Monte","CA","91733","2435","LOS ANGELES" 
"RITE AID 6383",-118.25696,34.047466,"600 W 7th St","","Los Angeles","CA","90017","3842","LOS ANGELES" 
"RITE AID 5678",-116.18169,33.677711,"51101 Harrison St","","Coachella","CA","92236","1560","RIVERSIDE" 
"RITE AID 5681",-116.39263,33.721333,"72875 Highway 111","","Palm Desert","CA","92260","3312","RIVERSIDE" 
"USA Liquor",-116.87364,32.846157,"14328 Olde Highway 80","","El Cajon","CA","92021","2827","SAN DIEGO" 
"BOMBAY SPICE HOUSE",-122.29353,37.868725,"1036 University Ave","","Berkeley","CA","94710","2114","ALAMEDA" 
"EL AZTECA MARKET",-118.27408,34.010365,"4031 S Main St","","Los Angeles","CA","90037","1021","LOS ANGELES" 
"Paramount Market",-121.49669,38.5812,"721 J St","","Sacramento","CA","95814","2501","SACRAMENTO" 
"RITE AID 5846",-118.177,34.864243,"2547 W Rosamond Blvd","","Rosamond","CA","93560","6266","KERN" 
"RITE AID 5847",-118.46781,35.123734,"811 Tucker Rd","","Tehachapi","CA","93561","2510","KERN" 
"RITE AID 6195",-119.10365,35.339916,"9000 Ming Ave Ste A","","Bakersfield","CA","93311","1319","KERN" 
"RITE AID 6294",-119.1455,35.384064,"2646 Allen Rd","","Bakersfield","CA","93314","9542","KERN" 
"RITE AID 6303",-119.03816,35.295803,"3225 Panama Ln","","Bakersfield","CA","93313","3732","KERN" 
"RITE AID 6366",-119.09238,35.41481,"6001 Coffee Rd","","Bakersfield","CA","93308","9414","KERN" 
"RITE AID 6396",-118.08525,34.558167,"2419 E Avenue S","","Palmdale","CA","93550","6202","LOS ANGELES" 
"RITE AID 6400",-118.18589,34.602264,"3105 Rancho Vista Blvd","","Palmdale","CA","93551","4822","LOS ANGELES" 
"RITE AID 5771",-119.30312,34.28138,"131 W Main St","","Ventura","CA","93001","2509","VENTURA" 
"RITE AID 5772",-119.25964,34.272182,"2738 E Thompson Blvd","","Ventura","CA","93003","2719","VENTURA" 
"RITE AID 5776",-119.51991,34.397713,"801 Linden Ave","","Carpinteria","CA","93013","2042","SANTA BARBARA" 
"RITE AID 5779",-119.28893,34.42564,"11496 N Ventura Ave","","Ojai","CA","93023","4195","VENTURA" 
"RITE AID 5788",-119.6786,34.421474,"35 S Milpas St","","Santa Barbara","CA","93103","3305","SANTA BARBARA" 
"RITE AID 5789",-119.70016,34.420166,"825 State St","","Santa Barbara","CA","93101","3206","SANTA BARBARA" 
"RITE AID 5790",-119.7236,34.401936,"1976 Cliff Dr","","Santa Barbara","CA","93109","1504","SANTA BARBARA" 
"PRIME MARKET",-123.20857,39.145309,"295 W Mill St","","Ukiah","CA","95482","5432","MENDOCINO" 
"CARNICERIA EL BRINQUITO",-122.48608,38.319839,"17380 Sonoma Hwy","","Sonoma","CA","95476","3636","SONOMA" 
"ANATEL LIQUORS",-118.1023,33.955547,"9414 Telegraph Rd","","Downey","CA","90240","2426","LOS ANGELES" 
"RITE AID 5791",-119.83075,34.443027,"199 N Fairview Ave","","Goleta","CA","93117","2304","SANTA BARBARA" 
"RITE AID 5820",-120.65565,35.282623,"1251 Johnson Ave","","San Luis Obispo","CA","93401","3306","SAN LUIS OBISPO" 
"RITE AID 5821",-120.83053,35.310947,"1110 Los Osos Valley Rd","","Los Osos","CA","93402","3204","SAN LUIS OBISPO" 
"RITE AID 5824",-120.59968,35.120434,"1207 E Grand Ave","","Arroyo Grande","CA","93420","2419","SAN LUIS OBISPO" 
"RITE AID 5825",-120.60874,35.120995,"1690 E Grand Ave","","Arroyo Grande","CA","93420","2469","SAN LUIS OBISPO" 
"RITE AID 5827",-120.66502,35.486427,"7025 El Camino Real","","Atascadero","CA","93422","4523","SAN LUIS OBISPO" 
"RITE AID 5830",-120.84274,35.367977,"740 Quintana Rd","","Morro Bay","CA","93442","1940","SAN LUIS OBISPO" 
"RITE AID 5831",-120.66179,35.623112,"1151 Creston Rd","","Paso Robles","CA","93446","","SAN LUIS OBISPO" 
"RITE AID 5832",-120.69244,35.639591,"2424 Spring St","","Paso Robles","CA","93446","1226","SAN LUIS OBISPO" 
"RITE AID 5833",-120.62397,35.13615,"531 Five Cities Dr","","Pismo Beach","CA","93449","3007","SAN LUIS OBISPO" 
"SUPER LATINO MARKET",-122.73848,38.427509,"1701 Sebastopol Rd","","Santa Rosa","CA","95407","6816","SONOMA" 
"FRIANT DEPOT SHELL",-119.71091,36.991169,"17822 N FRIANT RD","","FRIANT","CA","93626","","FRESNO" 
