Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County
NEW INDIA BAZAR,-122.41999,37.78693,1107 Polk St,,San Francisco,CA,94109,5512,SAN FRANCISCO 
Serve Well Market Inc,-122.41595,37.784409,595 Ellis St,,San Francisco,CA,94109,8102,SAN FRANCISCO 
Market Mayflower & Deli,-122.41343,37.789536,985 Bush St,,San Francisco,CA,94109,6313,SAN FRANCISCO 
WALGREENS 05599,-122.42181,37.796318,2120 Polk St,,San Francisco,CA,94109,2507,SAN FRANCISCO 
WALGREENS 03358,-122.42327,37.786407,1301 Franklin St,,San Francisco,CA,94109,5413,SAN FRANCISCO 
USA MARKET,-122.42256,37.782711,904 Eddy St,,San Francisco,CA,94109,7713,SAN FRANCISCO 
Geary Hyde Market,-122.41644,37.786377,798 Geary St,,San Francisco,CA,94109,7302,SAN FRANCISCO 
Cadillac Grocery,-122.41582,37.783463,499 Eddy St,,San Francisco,CA,94109,8104,SAN FRANCISCO 
Mid City Market,-122.4176,37.786232,868 Geary St,,San Francisco,CA,94109,7228,SAN FRANCISCO 
New Princess Market,-122.41595,37.783558,500 Eddy St,,San Francisco,CA,94109,8026,SAN FRANCISCO 
CVS Pharmacy 7955,-122.42327,37.794159,2025 Van Ness Ave,,San Francisco,CA,94109,3009,SAN FRANCISCO 
Walgreens 13666,-122.41873,37.788952,1300 Bush St,,San Francisco,CA,94109,5612,SAN FRANCISCO 
Woerners Liquors,-122.41833,37.786053,901 Geary St,,San Francisco,CA,94109,7001,SAN FRANCISCO 
Van Ness  Market,-122.42097,37.784138,920 Van Ness Ave,,San Francisco,CA,94109,,SAN FRANCISCO 
Jerusalem Market,-122.41869,37.787968,1100 Sutter St,,San Francisco,CA,94109,5608,SAN FRANCISCO 
UN Market,-122.41686,37.787247,900 Post St,,San Francisco,CA,94109,5812,SAN FRANCISCO 
Trader Joes 200,-122.41745,37.790916,1095 Hyde St,,San Francisco,CA,94109,4916,SAN FRANCISCO 
CVS 10080,-122.41738,37.790588,1059 Hyde St,,San Francisco,CA,94109,4916,SAN FRANCISCO 
Deena's Market,-122.41463,37.785656,600 Ofarrell St,,San Francisco,CA,94109,7404,SAN FRANCISCO 
Yogi Food Market 62,-122.41537,37.788414,908 Sutter St,,San Francisco,CA,94109,6025,SAN FRANCISCO 
CVS 10189,-122.42123,37.787582,1285 Sutter St,,San Francisco,CA,94109,,SAN FRANCISCO 
Green Apple Market,-122.41975,37.786152,1042 Polk St,,San Francisco,CA,94109,6936,SAN FRANCISCO 
Golden Veggie Market,-122.42066,37.790325,1475 Polk St,Ste A,San Francisco,CA,94109,4600,SAN FRANCISCO 
Hyde & O'Farrell Market Inc,-122.4166,37.785313,701 Ofarrell St,,San Francisco,CA,94109,7114,SAN FRANCISCO 
Uptown Market,-122.41764,37.784058,684 Larkin St,,San Francisco,CA,94109,7911,SAN FRANCISCO 
WALGREENS 00887,-122.42066,37.790821,1524 Polk St,,San Francisco,CA,94109,3607,SAN FRANCISCO 
SALEM GROCERY,-122.41854,37.786076,920 Geary St,,San Francisco,CA,94109,7002,SAN FRANCISCO 
FOOD & LIQUOR WORLD,-122.41384,37.787678,728 Post St,,San Francisco,CA,94109,6106,SAN FRANCISCO 
Whole Foods Market 10044,-122.42344,37.790195,1765 California St,,San Francisco,CA,94109,4509,SAN FRANCISCO 
ROUND THE CLOCK,-122.41375,37.789494,1001 Bush St,,San Francisco,CA,94109,6211,SAN FRANCISCO 
T & MW MARKET,-122.41763,37.785152,785 Ofarrell St,,San Francisco,CA,94109,7114,SAN FRANCISCO 
VPSF POLK - REAL FOODS,-122.42178,37.796345,2140 Polk St,,San Francisco,CA,94109,2507,SAN FRANCISCO 
AMIGO MARKET,-122.41444,37.784721,500 Ellis St,,San Francisco,CA,94109,8103,SAN FRANCISCO 
GLADSTONE MARKET,-122.41882,37.783184,678 Eddy St,,San Francisco,CA,94109,7907,SAN FRANCISCO 
DISCOUNT GROCERS,-122.42017,37.787926,1203 Polk St,,San Francisco,CA,94109,5514,SAN FRANCISCO 
Bread & Butter Market,-122.41898,37.785069,888 O'Farrell St,,San Francisco,CA,94109,,SAN FRANCISCO 
